;1 кв. 2006 г.;2 кв. 2006 г.;3 кв. 2006 г.;4 кв. 2006 г.;1 кв. 2007 г.;2 кв. 2007 г.;3 кв. 2007 г.;4 кв. 2007 г.;1 кв. 2008 г.;2 кв. 2008 г.;3 кв. 2008 г.;4 кв. 2008 г.;1 кв. 2009 г.;2 кв. 2009 г.;3 кв. 2009 г.;4 кв. 2009 г.;1 кв. 2010 г.;2 кв. 2010 г.;3 кв. 2010 г.;4 кв. 2010 г.;1 кв. 2011 г.;2 кв. 2011 г.;3 кв. 2011 г.;4 кв. 2011 г.;1 кв. 2012 г.;2 кв. 2012 г.;3 кв. 2012 г.;4 кв. 2012 г.;1 кв. 2013 г.;2 кв. 2013 г.;3 кв. 2013 г.;4 кв. 2013 г.;1 кв. 2014 г.;2 кв. 2014 г.;3 кв. 2014 г.;4 кв. 2014 г.;1 кв. 2015 г.;2 кв. 2015 г.;3 кв. 2015 г.;4 кв. 2015 г.;1 кв. 2016 г.;2 кв. 2016 г.;3 кв. 2016 г.;4 кв. 2016 г.;1 кв. 2017 г.;2 кв. 2017 г.;3 кв. 2017 г.;4 кв. 2017 г.;1 кв. 2018 г.;2 кв. 2018 г.;3 кв. 2018 г.;4 кв. 2018 г.;1 кв. 2019 г.;2 кв. 2019 г.;3 кв. 2019 г.;4 кв. 2019 г.;1 кв. 2020 г.;2 кв. 2020 г.;3 кв. 2020 г.;4 кв. 2020 г.;
Город федерального значения Севастополь;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.15;100.10;100;97.57;100.85;99.43;102.50;109.57;115.12;116.18;112.51;111.01;108.37;109.74;112.03;116.66;
Северо-Кавказский федеральный округ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.65;99.32;100.50;101.43;100.70;103.95;103.12;102.80;102.55;103.55;106.45;106.47;105.24;104.57;102.34;103.50;105.77;106.19;104.04;106.14;109.51;104.60;102.76;105.24;98.25;100.93;100.97;96.53;98.93;99.48;101.87;104.96;104.18;104.83;105.54;106.13;108.04;109.40;109.24;105.58;104.23;108.07;108.61;109.97;
Республика Дагестан;107.59;109.39;114.88;114.88;110.38;114.04;110.76;129.07;153.70;173.96;158.46;131.75;107.96;98.10;99.53;99.57;101.31;103.09;103.04;103.04;98.89;98.41;100;100;100;97.93;97.93;97.93;99.58;100;100.21;100.21;102.03;103.90;103.34;102.56;108.16;105.53;104.48;104.64;107.42;107.33;107.33;105.17;100.40;100.40;100.40;102.27;102.09;102.82;104.09;102.02;101.29;101.40;100.19;100.68;102.10;101.97;102.14;100.82;
Республика Ингушетия;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101.78;99.17;90.81;83.49;82.45;84.12;91.78;99.92;99.40;98.29;97.97;97.50;98.11;98.99;98.01;98.15;97.88;97.89;98.93;99.01;98.69;98.37;99.24;99.88;
Кабардино-Балкарская Республика;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.44;98.50;98.50;100.42;101.40;100.89;100.85;102.90;100.50;100.55;100.57;105.58;103.08;103.54;104.06;102.69;103.46;103.19;102.36;100.93;100.48;98.74;98.83;101.54;100.23;99.68;97.99;97.09;96.92;93.60;99.22;92.31;101.91;101.83;95.37;102.70;105.56;109.48;108.88;
Карачаево-Черкесская Республика;0;0;0;0;0;0;0;0;114.62;123.11;115.36;113.08;0;0;0;0;107.84;84.11;90.77;102.40;109.80;132.06;82.36;117.83;107.27;105.93;107.04;106.71;104.71;104.72;104.27;107.39;135.47;148.72;148;140.36;102.99;102.22;102.03;101.18;100.54;99.82;100;100;100;99.58;95.94;92.99;84.89;83.38;87.47;94.33;104.99;106.56;108.56;104.33;102.80;106.23;105.76;106.50;
Республика Северная Осетия-Алания;0;0;0;0;111.60;109.50;112.71;111.99;108.80;110.12;114.78;118.22;118.94;115.28;113.12;102.29;98.19;97.33;97.73;97.83;102.78;102.19;101.03;101.01;107.04;106.83;110.07;107.86;112.89;111.97;109.16;107.49;108.77;108.15;106.91;104.92;107.21;102.10;99.50;100.31;93.83;97.98;98.18;97.91;103.33;103.78;102.11;106.17;105.55;105.56;105.38;100.20;97.67;105.10;107.53;100.33;102.19;117.61;116.88;130.99;
Чеченская Республика;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;100;92.44;86.12;86.12;86.12;102.01;103.22;105.47;105.47;102.23;101.89;102.73;102.39;101.58;101.07;100.88;101.01;102.49;102.28;100.10;99.20;97.63;99.42;99.44;99.44;98.07;98.63;98.76;99.55;99.24;99.50;99.71;100.02;101.61;101.03;99.94;99.26;101.20;100.29;101.86;102.61;
Ставропольский край;107.30;106.44;105.55;109.24;115.83;120.18;118.12;112.16;113.66;121.98;122.93;116.93;112.89;99.95;94.91;97.49;93.39;98.25;99.46;101.47;100.37;104.07;104.83;102.98;102.31;103.65;106.97;107.19;104.92;104.08;101.31;103.17;104.91;105.24;102.48;106.31;110.98;105.29;103.55;107.09;97.76;101.02;100.87;94.18;96.29;97.51;103.62;108.05;105.69;106.51;107.16;110.32;114.53;114.77;114.26;109.30;106.57;107.95;108.81;107.34;
Приволжский федеральный округ;121.83;128.77;141.68;154.94;158.19;156.61;144.05;129.90;122.43;117.87;113.71;107.80;99.50;94.49;91.21;91.07;93.82;95.94;98.14;99.56;103.60;104.17;105.98;106.80;108.39;110.38;112.46;112.89;112.29;109.75;107.73;105.53;105.56;106.84;106.94;106.35;107.59;105.06;102.60;101.35;97.87;97.30;97.44;96.29;97.70;98.68;99.34;99.84;100.74;102.51;103.93;105.36;106.42;106.91;106.83;106.73;107.01;106.88;107.08;108.49;
Республика Башкортостан;132.74;147.31;166.59;163.24;160.47;151.67;129.77;124.73;117.01;108.40;106.90;101.74;95.14;90.72;90.06;91.01;93.95;98.24;98.80;100.70;101.94;103;105.33;109.45;114.97;116;116.02;114.59;111.33;110.52;110.04;109.90;108.34;108.98;109.42;107.09;106.39;101.76;98.08;98.61;96.84;98.48;99.81;99.47;99.27;98.56;101.07;101.03;101.38;105.35;105.44;106.04;109.73;109.98;109.75;109.68;108.68;108.09;107.65;108.22;
Республика Марий Эл;130.80;136.19;148.15;150.63;160.51;153.57;144.83;139.38;137.27;135.84;122.39;114.02;102.74;96.35;88.59;89.15;97.03;98.32;102.53;104.71;101.35;106.87;108.64;111.45;109.67;110.63;107.60;104.70;107.69;105.02;106.60;106.77;104.31;104.48;101.97;103.31;103.53;101.78;102.91;99.59;99.26;99.23;98.56;96.72;97.67;96.36;95.52;92.77;94.80;97.54;95.54;102.20;103.23;102.69;103.01;101.27;99.98;100.82;102.56;111.01;
Республика Мордовия;116.19;119.82;119.53;120.65;124.59;126.26;123.92;121.91;143.40;143.98;141.30;129.61;96.04;88.95;80.43;82.21;95.03;95.19;101.64;98.38;101.06;101.20;99.14;101.88;103.25;113.12;122.05;132.04;119.91;114.38;109.23;102.30;105.77;106.06;108.86;109.37;109.65;101.37;105.85;96.14;101.83;90.26;96.79;98.57;96.18;102.44;101.35;100.12;101.32;100.37;98.26;102.40;99.95;100.80;101.15;101.97;97.56;98.50;99.36;105.68;
Республика Татарстан (Татарстан);124.94;121.79;143.45;177.79;172.04;163.52;145.48;124.74;112.99;113.78;108.91;103.36;100.18;0;93.16;92.09;93.16;96.13;102.59;105.43;106.71;104.27;107.27;108.92;107.54;115.92;115.43;112.52;116.06;108.61;107.84;106.37;108.61;108.06;109.43;107.28;106.65;107.33;105.81;105.94;102.46;102.90;103.31;102.70;101.49;99.37;98.84;96.90;101.53;104.31;106.61;106.91;106.68;105.95;106.30;107.27;111.50;110.73;109.31;110.61;
Удмуртская Республика;115;125.21;141.94;158.61;173.56;163.12;131.92;112.93;109.33;102.05;101.85;98.83;93.04;95.50;92.14;93.11;100.18;97.21;100.49;100.22;102.93;104.44;105.55;106.54;108.50;108.16;109.08;106.56;109.24;107.23;106.94;105.17;107.04;109.14;106.08;106.67;109.81;105.14;101.45;99.73;96.65;98.30;99.84;99.69;100.71;100.36;99.65;100.56;101.76;104.18;106.19;106.15;105.97;109.70;110.48;109.88;108.64;106.59;104.49;105.72;
Чувашская Республика - Чувашия;112.12;117.89;120.11;134.72;157.10;163.06;164.38;146.76;127.32;116.03;105.46;98.96;89.50;87.38;87.36;89.37;94.96;96.89;99.28;101.33;103.80;112;108.92;112.19;111.65;111.22;113.95;112.85;117.18;110.28;102.47;102.35;102.27;106.44;112.14;104.77;103.25;99.98;98.12;97.11;92.81;92.07;92.63;88.52;97.30;99.60;100.50;101.85;101.96;103.53;106.10;108.72;105.38;106.36;105.92;105.62;105.53;106.17;107.15;107.69;
Пермский край;123.53;127.93;131.16;133.97;155.31;145.94;150.72;139.79;135.77;126.91;112.16;101.13;93.89;88.52;84.30;87.71;86.82;89.55;96.99;97.74;119.02;118.30;117.20;117.49;111.87;114.44;120.20;118.75;111.51;109.42;105.10;102.75;105.67;107.36;105.96;104.88;110.71;107.06;101.49;100.92;96.44;92.12;94.72;91.06;90.98;100.06;96.93;103.42;100.75;98.53;101.85;102.64;114.01;110.77;108.24;110.83;103.93;105.10;106.29;104.83;
Кировская область;137.22;142.61;144.33;140.90;147.71;145.53;136.68;124.04;115.84;111.27;109.15;101.80;90.79;86.85;82.81;86.97;95.52;97.19;98.20;98.85;97.94;99.04;105.82;106.90;108.88;111.07;110.98;117.58;120.31;118.70;115.61;109.68;101.88;102.38;102.72;102.90;105.88;100.59;97.95;96.58;95.78;96.48;98.43;96.94;96.29;97.05;98.59;99.68;104.16;105.55;107.31;108.55;106.23;104.15;102.69;100.95;101.31;104.34;105.40;110.33;
